Dataset,#TrainingRelease,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,2,NAIVE BAYES,UNDERSAMPLING,NO,SENSITIVE THRESHOLD,1,1,191,271,0.5,0.003676470588235294,0.49923406862745096,-0.0012693577050013128,
BOOKKEEPER,3,NAIVE BAYES,UNDERSAMPLING,NO,SENSITIVE THRESHOLD,2,2,195,419,0.5,0.004750593824228029,0.4972991547801343,-0.0034556968860160213,
BOOKKEEPER,4,NAIVE BAYES,UNDERSAMPLING,NO,SENSITIVE THRESHOLD,90,5,116,379,0.9473684210526315,0.19189765458422176,0.5752876702673175,0.07014159655243173,
BOOKKEEPER,5,NAIVE BAYES,UNDERSAMPLING,NO,SENSITIVE THRESHOLD,260,34,163,161,0.8843537414965986,0.6175771971496437,0.722494182331167,0.3798437644733999,
BOOKKEEPER,6,NAIVE BAYES,UNDERSAMPLING,NO,SENSITIVE THRESHOLD,444,0,0,212,1.0,0.676829268292683,NaN,0.0,
BOOKKEEPER,1,IBK,UNDERSAMPLING,NO,SENSITIVE THRESHOLD,125,18,136,23,0.8741258741258742,0.8445945945945946,0.8638557388557389,0.728190718707468,
BOOKKEEPER,2,IBK,UNDERSAMPLING,NO,SENSITIVE THRESHOLD,180,11,181,92,0.9424083769633508,0.6617647058823529,0.8022365196078431,0.5691619789412953,
BOOKKEEPER,3,IBK,UNDERSAMPLING,NO,SENSITIVE THRESHOLD,411,80,117,10,0.8370672097759674,0.9762470308788599,0.7850778301602421,0.6296789485598625,
BOOKKEEPER,4,IBK,UNDERSAMPLING,NO,SENSITIVE THRESHOLD,369,8,113,100,0.9787798408488063,0.7867803837953091,0.8603323406579851,0.56210398999409,
BOOKKEEPER,5,IBK,UNDERSAMPLING,NO,SENSITIVE THRESHOLD,401,80,117,20,0.8336798336798337,0.9524940617577197,0.773201345599672,0.5945786373118859,
BOOKKEEPER,6,IBK,UNDERSAMPLING,NO,SENSITIVE THRESHOLD,388,0,0,268,1.0,0.5914634146341463,NaN,0.0,
